Имя;Адрес;Адрес данных;Формат;Тип;X;Y;Разр.данных;Достоверность;Источник;Мин;Макс;Примечание
CURVE_6_019568;0x19568;0x1956F;с заголовком;2d;6;1;8;подтверждена;профиль;;;Вторая кривая на 6 точек с той же осью. Меняется между двумя csok.
GRID_153_195FB_16x15;0x195FB;0x195FB;голая сетка;3d;16;15;8;вероятная;gridscan;98;128;
MAP_154_196F8_5;0x196F8;0x196FE;с заголовком;2d;5;1;8;вероятная;mapscan;35;55;
MAP_155_19719_8;0x19719;0x19722;с заголовком;2d;8;1;8;вероятная;mapscan;24;211;
MAP_156_1976E_6;0x1976E;0x19775;с заголовком;2d;6;1;8;вероятная;mapscan;0;255;
MAP_157_1977E_5;0x1977E;0x19784;с заголовком;2d;5;1;8;вероятная;mapscan;5;255;
MAP_158_1979E_6;0x1979E;0x197A5;с заголовком;2d;6;1;8;вероятная;mapscan;16;128;
GRID_159_197BC_10x10;0x197BC;0x197BC;голая сетка;3d;10;10;8;вероятная;gridscan;2;5;
MAP_160_1985D_10;0x1985D;0x19868;с заголовком;2d;10;1;16;вероятная;mapscan;10114;65535;
MAP_161_198B4_5;0x198B4;0x198BA;с заголовком;2d;5;1;16;вероятная;mapscan;100;65254;
MAP_162_19950_14;0x19950;0x1995F;с заголовком;2d;14;1;8;вероятная;mapscan;0;255;
MAP_163_19995_8x8;0x19995;0x199A7;с заголовком;3d;8;8;8;вероятная;mapscan;86;190;
MAP_164_19A2F_20;0x19A2F;0x19A44;с заголовком;2d;20;1;8;вероятная;mapscan;11;251;
MAP_165_19A6B_20;0x19A6B;0x19A80;с заголовком;2d;20;1;8;вероятная;mapscan;11;237;
MAP_166_19AAC_4;0x19AAC;0x19AB1;с заголовком;2d;4;1;8;вероятная;mapscan;57;118;
MAP_167_1A692_12;0x1A692;0x1A69F;с заголовком;2d;12;1;16;вероятная;mapscan;5;32874;
MAP_168_1A6E4_10x16;0x1A6E4;0x1A700;с заголовком;3d;10;16;16;вероятная;mapscan;0;59320;
MAP_169_1A84A_6;0x1A84A;0x1A851;с заголовком;2d;6;1;16;вероятная;mapscan;0;26701;
MAP_170_1A88A_6;0x1A88A;0x1A891;с заголовком;2d;6;1;16;вероятная;mapscan;0;13100;
MAP_171_1A945_4;0x1A945;0x1A94E;с заголовком;2d;4;1;16;вероятная;mapscan;540;1194;
MAP_172_1A965_4;0x1A965;0x1A96E;с заголовком;2d;4;1;16;вероятная;mapscan;543;1310;
MAP_173_1AA3A_4;0x1AA3A;0x1AA3F;с заголовком;2d;4;1;16;вероятная;mapscan;33023;57367;
MAP_174_1AB22_4;0x1AB22;0x1AB27;с заголовком;2d;4;1;16;вероятная;mapscan;33023;57367;
MAP_175_1AC8F_6;0x1AC8F;0x1AC9C;с заголовком;2d;6;1;16;вероятная;mapscan;12000;22080;
MAP_176_1ADDB_5;0x1ADDB;0x1ADE6;с заголовком;2d;5;1;16;вероятная;mapscan;2800;12000;
MAP_177_1AEC3_6;0x1AEC3;0x1AECA;с заголовком;2d;6;1;8;вероятная;mapscan;0;150;
